Code,Name,area_km2,area_km2_source,area_km2_source_url,population,population_date,population_source,population_source_url
NRX,Norway,"304,225",SSB,http://www.ssb.no/en/natur-og-miljo/statistikker/arealdekke,"5,145,150",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
NOR,Norway (Overseas Territories),"365,223",SSB,http://www.ssb.no/en/natur-og-miljo/statistikker/arealdekke,"5,147,792",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
NA,North America,"24,490,000",DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm,"542,056,000",2012,DESA,http://esa.un.org/unpd/wpp/Excel-Data/population.htm
ZAX,South Africa,"1,214,470",World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"48,375,645",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
USA48,United States (Contiguous 48),"7,653,006",Census,http://www.census.gov/geo/reference/state-area.html,"313,989,653",July 2013,Census,http://www.census.gov/popest/data/state/totals/2013/index.html
USA,United States,"9,147,593",Census,http://www.census.gov/geo/reference/state-area.html,"316,128,839",July 2013,Census,http://www.census.gov/popest/data/state/totals/2013/index.html
ESX,Spain,"492,175",INE,http://www.ine.es/prodyser/pubweb/anuario06/anu06_01entor.pdf,"43,731,572",1 Jan 2013,INE,http://ine.es
ESP,Spain (Overseas Territories),"504,645",INE,http://www.ine.es/prodyser/pubweb/anuario06/anu06_01entor.pdf,"46,507,760",1 Jan 2014,INE,http://www.ine.es/jaxi/tabla.do?path=/t20/p321/serie/l0/&file=01001.px&type=pcaxis&L=0
CUW,Curaçao,444,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"146,836",July 2013,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
IMN,Isle of Man,572,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"86,866",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
KOS,Kosovo,"10,887",World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"1,859,203",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
MKD,Macedonia,"25,433",World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"2,091,719",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
SRB,Serbia,"77,474",World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"7,209,764",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
FXX,France (Metropolitan),"549,970",World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2147.html,"64,036,000",June 2014,INSEE,http://www.bdm.insee.fr/bdm2/affichageSeries.action?idbank=000436387&bouton=OK&codeGroupe=62
MAR,Morocco,"710,600",Wikipedia,https://en.wikipedia.org/wiki/Geography_of_Morocco,"32,987,206",July 2014,World Factbook,https://www.cia.gov/library/publications/the-world-factbook/fields/2119.html
